@RELATION touch

@ATTRIBUTE pressure		REAL
@ATTRIBUTE size		 	REAL
@ATTRIBUTE touchmajor	REAL
@ATTRIBUTE touchminor	REAL
@ATTRIBUTE duration		REAL
@ATTRIBUTE flytime		REAL
@ATTRIBUTE shake		REAL
@ATTRIBUTE orientation	INTEGER
@ATTRIBUTE type 		INTEGER
@ATTRIBUTE class 	{Navid,Others}

@DATA
1.0,0.011764706,3.3333333,2.6666667,56,114,22.500637,1,1,Others
1.0,0.011111113,3.0,2.6666667,72,155,45.785435,1,1,Others
1.0,0.015196079,4.5,3.25,79,1142,110.83958,1,1,Others
1.0,0.016993465,4.5,4.1666665,90,261,19.042969,1,1,Others
1.0,0.01764706,4.6666665,4.3333335,72,161,51.75669,1,1,Others
1.0,0.016666668,5.0,3.5,61,179,75.79837,1,1,Others
1.0,0.014052288,3.8333333,3.3333333,87,708,40.021435,1,1,Others
1.0,0.013725492,3.6666667,3.3333333,86,157,149.87,1,1,Others
1.0,0.012418301,3.3333333,3.0,70,0,119.85049,1,2,Others
1.0,0.01633987,4.8333335,3.5,113,1045,59.615128,1,2,Others
1.0,0.015686275,4.6666665,3.3333333,76,25,59.615128,1,2,Others
1.0,0.016666668,4.75,3.75,63,85,0.8534577,1,2,Others
1.0,0.016666668,4.75,3.75,123,1036,11.811383,1,2,Others
1.0,0.015032682,4.3333335,3.3333333,71,20,39.393333,1,2,Others
1.0,0.016666668,4.75,3.75,79,1033,47.423775,1,2,Others
1.0,0.015196079,4.25,3.5,90,89,69.15101,1,2,Others
1.0,0.012745098,3.5,3.0,223,162,208.41695,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,60,0,10.04951,1,2,Others
1.0,0.013725491,3.8,3.2,80,157,58.294075,1,2,Others
1.0,0.014379087,4.0,3.3333333,129,688,0.28222007,1,2,Others
1.0,0.01372549,3.6666667,3.3333333,96,49,66.37033,1,2,Others
1.0,0.011764707,3.0,3.0,73,721,22.433098,1,2,Others
1.0,0.015686275,4.0,4.0,96,73,66.50974,1,2,Others
1.0,0.01633987,4.3333335,4.0,110,679,10.573309,1,2,Others
1.0,0.014379085,4.0,3.3333333,85,35,82.14934,1,2,Others
1.0,0.042156868,5.2490234,5.2490234,91,0,119.913185,1,1,Others
1.0,0.042156868,5.2490234,5.2490234,83,2302,11.378657,1,1,Others
1.0,0.04803922,5.9814453,5.9814453,125,499,19.952217,1,1,Others
1.0,0.041830067,5.2083335,5.2083335,100,234,14.203281,1,1,Others
1.0,0.049019612,6.1035156,6.1035156,74,160,19.401928,1,1,Others
1.0,0.0464986,5.7896204,5.7896204,99,268,16.959429,1,1,Others
